nama_produk,harga,penjual,lokasi,terjual,rating
Bundle 3pcs - Seblak Basranger Extra Pedas 200gr Makanan Instan,Rp51.900,Rak Sebelah,Jakarta Pusat,Terjual 40+,4.8
kerupuk mawar putih kerupuk seblak,Rp6.250,CIPTA-RASA.,Bandung,Terjual 40+,4.7
Seblak Kering Kurupuk Extra Pedas 1Kg Super Renyah&Gurih Asli Bandung ,Rp5.000,FIRMAN TEGAR ADI GUNA,Kab. Bandung,Terjual 6,4.7
Paket Seblak Tjap Harian,Rp10.500,bawang putih tjap harian,Bandung,Terjual 250+,4.9
Siomay Cuanki Kering Isi 25pcs Toping Seblak dan Baso Aci Garut,Rp7.599,gaiagarut,Kab. Garut,Terjual 100+,4.9
siomay mini GURILEM EKONOMIS 50gram Toping Baso Aci Cuanki Seblak,Rp1.710,gaiagarut,Kab. Garut,Terjual 6,4.5
seblak instant komplit bumbu cikruh bandung aufaro snack,Rp6.400,AUFARO SNACK,Kab. Bandung Barat,Terjual 250+,4.9
GURILEM MINI isi 100gr Siomay Kering Toping Baso Aci Cuanki Seblak,Rp3.959,lahawelah,Kab. Garut,Terjual 50+,5.0
Seblak Instan,Rp10.500,RN FROZEN FOOD,Jakarta Selatan,Terjual 50+,4.9
Cuanki/siomay kering-topping baso aci-seblak 200gr,Rp10.000,Kenangan Garut,Kab. Garut,Terjual 750+,5.0
GURILEM MINI isi 250gr Siomay Kering Toping Baso Aci Cuanki Seblak,Rp7.819,gaiagarut,Kab. Garut,Terjual 250+,4.9
GURILEM MINI isi 250gr Siomay Kering Toping Baso Aci Cuanki Seblak,Rp7.819,lahawelah,Kab. Garut,Terjual 100+,4.9
Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,Terjual 1 rb+,4.8
seblak instant sajodo snak,Rp19.000,hikmah berkah jaya,Jakarta Barat,Terjual 750+,4.8
Mommy Seblak Basah Instant 100gr,Rp10.000,emmoshop,Kab. Bogor,Terjual 2 rb+,4.9
SEBLAK INSTANT TERMURAH,Rp3.999,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,Terjual 10 rb+,4.8
seblak mamang Rafael versi kering,Rp12.000,Berkahrr,Bekasi,Terjual 10,
SEBLAK KERING PEDAS DAUN JERUK,Rp4.500,BociKakang,Jakarta Selatan,Terjual 500+,4.6
KRUPUK JABLAY PEDAS 500Gram/KRUPUK SEBLAK/SEBLAK KERING/SNACK KILOAN,Rp22.999,Agen Snack Murah,Jakarta Barat,Terjual 40+,4.9
Kerupuk Seblak / Seblak / Kering Pedas /,Rp10.000,Anggris store,Kab. Bogor,Terjual 40+,4.8
